id,title,duration,view_count,comment_count,like_count,upload_date,duration_string,aspect_ratio
LWstCINhd8g,Impossible,233,96315,351.0,2870.0,20140420,3:53,1.78
Pv0iVoSZzN8,In 10 Minutes This Room Will Explode!,600,167881894,76000.0,4169474.0,20240427,10:00,1.78
ZiuoOcj2eLY,In Dis Video I Play Minecraft. (Factions),529,65846,213.0,1813.0,20140705,8:49,1.78
DL0OPJ2hahc,Increase Youtube Views 2015! COMMUNITY CHANNELS - Boosting Youtube Views,232,64557,314.0,1891.0,20150927,3:52,1.78
Vr2337tCLCI,Insane Advanced Warfare Hacker!,134,64551,389.0,1958.0,20150607,2:14,1.78
pUwUAtmBKxw,Insane Black Ops 2 HACKER!!!!,359,269719,713.0,7120.0,20130730,5:59,1.78
X7doE4h6W64,Insane Gun Sync - 7 Hours To Make,134,64571,588.0,2366.0,20150621,2:14,1.78
SgMydsOucFg,INSANE TRIPLE LEGENDARY SUPPLY DROP! BEST OPENING YET?,209,64561,385.0,,20150711,3:29,1.78
Pgxi8dsUW-o,Is Being A Youtuber Hard? Is Being A Youtuber Worth It?,321,129473,704.0,4944.0,20151004,5:21,1.78
toIeUtplfWQ,Is Being Smart or Strong Better?,39,146842232,9800.0,2646589.0,20260206,39,0.56
boBokLXe5o8,Is Jacksepticeye A Millionaire?????? 2016,189,250261,675.0,3729.0,20150409,3:09,1.78
hfaPkoXeYfU,Is Michael Bay My Dad????????,102,83073,251.0,2458.0,20160118,1:42,1.78
z7qtJAAV5d0,Is Obama Dead? Dumb Google Searches!,323,234717,292.0,4738.0,20160124,5:23,1.78
uCIpW9zOmgI,Is Pewdiepie The #2 Youtuber?!?!?  :0,235,102833,325.0,1864.0,20150304,3:55,1.78
DpIvW6av0pI,IT FINALLY CAME IN THE MAIL,302,368427,1300.0,12164.0,20161010,5:02,1.78
6GzHPS0rEgc,"I’m Giving My 250M Subscriber $25,000",20,350073684,60000.0,10803815.0,20240406,20,0.56
B9LizOAAoLg,I’m Granting Wishes For My Subscribers,16,583458252,1000000.0,5006251.0,20260507,16,0.56
EiFcNbXBqeo,Jet Engine vs Human for $10k,23,163747063,7400.0,2469186.0,20250720,23,0.56
UTdcX1e0cMA,"Jump Over The Lava, Win!",63,89429345,12000.0,2308406.0,20251010,1:03,0.56
L5kIXRdwGAI,Katana Vs Bullet,40,1177153064,54000.0,38421611.0,20230907,40,0.56
OnTTThIzuNU,"Keep Track Of Car, Win $10,000",50,184118023,95000.0,7974424.0,20240319,50,0.56
miKQkeq5sbU,Knives In Video Games Cost More Than Real Life????,223,72358,281.0,2257.0,20150918,3:43,1.78
56OkH6ocYZU,L0114R - Biblical Creeper Post for Post @L0114R,88,64557,255.0,1305.0,20150515,1:28,1.78
KSKJKLmAqpI,"Lambo Race, Winner Keeps Lambo",888,152696837,54000.0,2759543.0,20200208,14:48,1.78
954wJ3uHVAk,Last One To Fall Wins,29,161765521,9000.0,4229913.0,20250308,29,0.56
MFpWEKN9c6Y,"Last Person Hanging Wins $10,000",42,631961653,17000.0,13702285.0,20250121,42,0.56
qtWqHIx8Z-o,"Last Person Standing Wins $10,000",47,727924963,11000.0,14017981.0,20241222,47,0.56
tQ4m4zD7BBA,"Last To Fall Wins $1,000,000 (Part 1)",1016,170222735,56000.0,3170706.0,20191114,16:56,1.78
NkE0AMGzpJY,"Last To Leave $800,000 Island Keeps It",1274,297766260,224000.0,5910483.0,20200815,21:14,1.78
Gz3yak1cl-8,"Last To Leave Circle Wins $10,000 - Challenge",995,99191335,58000.0,1678816.0,20181012,16:35,1.78
zxYjTTXc-J8,"Last To Leave Circle Wins $500,000",1063,556645602,132000.0,7904230.0,20210831,17:43,1.78
